tconst,ordering,nconst,category,characters,averageRating,numVotes,directors,writers,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres,decennie_startYear,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,title,region,language,isOriginalTitle
tt0419773,7,nm0312036,actress,Heimleiterin,6.8,1633,nm0678857,"nm0267943,nm0678857",movie,Gespenster,0.0,2005.0,85.0,Drama,2000.0,Claudia Geisler-Bading,1965.0,,actress,"tt2177771,tt1224153,tt1996310,tt0347087",Fantômes,FR,fr,0
tt0419773,10,nm0475982,actor,Vorarbeiter,6.8,1633,nm0678857,"nm0267943,nm0678857",movie,Gespenster,0.0,2005.0,85.0,Drama,2000.0,Peter Kurth,1957.0,,actor,"tt3296980,tt4378376,tt0301357,tt2338846",Fantômes,FR,fr,0
tt0419773,8,nm1877872,actor,Mathias,6.8,1633,nm0678857,"nm0267943,nm0678857",movie,Gespenster,0.0,2005.0,85.0,Drama,2000.0,Philipp Hauß,1980.0,,actor,"tt0461656,tt13387268,tt4976588,tt9179616",Fantômes,FR,fr,0
tt0419773,9,nm0871219,actress,Mathias' Mutter,6.8,1633,nm0678857,"nm0267943,nm0678857",movie,Gespenster,0.0,2005.0,85.0,Drama,2000.0,Victoria Trauttmansdorff,1960.0,,actress,"tt7670212,tt1031932,tt1674773,tt0246772",Fantômes,FR,fr,0
tt0314624,9,nm0226623,actor,Vero's Dad,6.0,379,nm0220146,"nm1157806,nm0726892",movie,Science Fiction,0.0,2002.0,90.0,"Adventure,Family,Mystery",2000.0,Dirk van Dijck,1952.0,,actor,"tt0189811,tt2096153,tt1010360,tt0320882",Science Fiction,FR,fr,0
tt0314624,7,nm0887130,actress,Teacher,6.0,379,nm0220146,"nm1157806,nm0726892",movie,Science Fiction,0.0,2002.0,90.0,"Adventure,Family,Mystery",2000.0,Ilse Van Hoecke,1975.0,,actress,"tt0314624,tt0289055,tt0242024,tt0126764",Science Fiction,FR,fr,0
tt0314624,1,nm1155232,actor,Andreas,6.0,379,nm0220146,"nm1157806,nm0726892",movie,Science Fiction,0.0,2002.0,90.0,"Adventure,Family,Mystery",2000.0,David Geclowicz,,,actor,"tt0314624,tt0331175,tt0356317",Science Fiction,FR,fr,0
tt0314624,2,nm1157075,actress,Vero,6.0,379,nm0220146,"nm1157806,nm0726892",movie,Science Fiction,0.0,2002.0,90.0,"Adventure,Family,Mystery",2000.0,Fran Michiels,,,actress,"tt0314624,tt1434482,tt0423103",Science Fiction,FR,fr,0
tt0314624,3,nm1154628,actor,Kasper,6.0,379,nm0220146,"nm1157806,nm0726892",movie,Science Fiction,0.0,2002.0,90.0,"Adventure,Family,Mystery",2000.0,Jurre Baguet,,,actor,tt0314624,Science Fiction,FR,fr,0
tt0314624,4,nm1053331,actor,Wietse,6.0,379,nm0220146,"nm1157806,nm0726892",movie,Science Fiction,0.0,2002.0,90.0,"Adventure,Family,Mystery",2000.0,Wietse Tanghe,1990.0,,actor,"tt3411430,tt0235139,tt0149546,tt0409597",Science Fiction,FR,fr,0
tt0156812,5,nm0066290,actor,Army Buddy,7.0,21413,nm0751221,"nm0607009,nm0318343",movie,My Dog Skip,0.0,2000.0,95.0,"Comedy,Drama,Family",2000.0,Mark Beech,,,actor,"tt0156812,tt6772336",Mon chien Skip,FR,fr,0
tt0156812,7,nm0681785,actor,Mr. Jenkins,7.0,21413,nm0751221,"nm0607009,nm0318343",movie,My Dog Skip,0.0,2000.0,95.0,"Comedy,Drama,Family",2000.0,David Pickens,,,actor,"tt0156812,tt1297943,tt6702308,tt0383656",Mon chien Skip,FR,fr,0
tt0156812,8,nm0181699,actor,Big Boy Wilkinson,7.0,21413,nm0751221,"nm0607009,nm0318343",movie,My Dog Skip,0.0,2000.0,95.0,"Comedy,Drama,Family",2000.0,Bradley Coryell,,,actor,"tt0156812,tt0114011,tt0283084,tt0161233",Mon chien Skip,FR,fr,0
tt0156812,9,nm0393185,actor,Henjie Henick,7.0,21413,nm0751221,"nm0607009,nm0318343",movie,My Dog Skip,0.0,2000.0,95.0,"Comedy,Drama,Family",2000.0,Daylan Honeycutt,1987.0,,actor,"tt0156812,tt5105306",Mon chien Skip,FR,fr,0
tt0156841,7,nm0836220,actor,Sam,4.7,11730,nm0772259,nm0740568,movie,The Next Best Thing,0.0,2000.0,108.0,"Comedy,Drama,Romance",2000.0,Malcolm Stumpf,1991.0,,actor,"tt0156841,tt0430768",Un couple presque parfait,FR,fr,0
